UUID,公告日期,容積移轉,建案名稱,建設公司,公益回饋,經度,緯度
f47ac10b-58cc-4372-a567-0e02b2c3d479,20160304,容積移轉 30%,臺南市安平區金華段85-2地號集合住宅新建工程,龍騰建設股份有限公司,認養育平里公園,120.168099,22.991047
550e8400-e29b-41d4-a716-446655440000,20161024,容積移轉 40%,台南市安平區漁光段886地號店鋪集合住宅(第1次變更設計),聯上實業股份有限公司,原承諾之公益性措施方案為安平區文中66學校用地之西側壘球場護網更換及維護，惟現在該場地已承租予私人機構並由該機構維護，有關該本案之公益性措施標的，請申請單位與本公所確認回饋項目並完成相關之行政程序。,120.166605,22.983765
6ba7b810-9dad-11d1-80b4-00c04fd430c8,20161110,容積移轉 40%,建築家建設安平區金華段47-2地號集合住宅店舖新建工程,建築家建設有限公司,,120.173095,22.994868
6ba7b811-9dad-11d1-80b4-00c04fd430c8,20161215,容積移轉 40%,能緹精密工業股份有限公司中西區康樂段568、571等2筆地號店鋪集合住宅新建工程,能緹精密工業股份有限公司,原計畫回饋認養本市中西區廣 8 廣場，案經 105 年 9 月 23 日該公司電洽表示暫緩認養,120.192952,22.993045
6ba7b812-9dad-11d1-80b4-00c04fd430c8,20161215,容積移轉 40%,新北段集合住宅新建工程,洺泰建設股份,,120.294971,23.082957
6ba7b813-9dad-11d1-80b4-00c04fd430c8,20161215,容積移轉 40%,金華段集合住宅新建工程(第一次變更設計),永大福建設有限公司,,120.176186,22.991375
6ba7b814-9dad-11d1-80b4-00c04fd430c8,20170224,容積移轉 39.1%,台南市仁德區白崙段72、72-1地號店舖、集合住宅新建工程,興富發建設股份有限公司,認養仁德區仁德里公園,120.241765,22.972444
6ba7b815-9dad-11d1-80b4-00c04fd430c8,20170224,容積移轉 40%,皇龍建設股份有限公司集合住宅新建工程,皇龍建設股份有限公司,,120.177714,23.020071
6ba7b816-9dad-11d1-80b4-00c04fd430c8,20170406,容積移轉 40%,台南市安南區國安段集合住宅新建工程,築立建業股份有限公司,認養綠AN14-3綠帶2年,120.174912,23.023008
6ba7b817-9dad-11d1-80b4-00c04fd430c8,20170621,容積移轉 40%,國安段1550-2地號集合住宅新建工程,瀚翔建設有限公司,,120.179338,23.024627
6ba7b818-9dad-11d1-80b4-00c04fd430c8,20170706,容積移轉 40%,"臺南市南區大山段388,389等2筆地號店鋪集合住宅新建工程(第1次變更設計)",華友聯建設有限公司,,120.189485,22.929852
6ba7b819-9dad-11d1-80b4-00c04fd430c8,20170809,容積移轉 40%,台南市安平區金華段45地號店舖、集合住宅新建工程(第2次變更設計),上曜建設開發股份有限公司,認養華平公園1年,120.171718,22.993823
6ba7b81a-9dad-11d1-80b4-00c04fd430c8,20170922,容積移轉 40%,安南區國安段1612地號集合住宅新建工程,佳展建設股份有限公司,,120.175643,23.022308
6ba7b81b-9dad-11d1-80b4-00c04fd430c8,20170922,容積移轉 40%,店鋪、集合住宅新建工程(第一次變更設計),陶喜建設有限公司,,120.205644,23.036764
6ba7b81c-9dad-11d1-80b4-00c04fd430c8,20180227,容積移轉 40%,安平區金華段104-1地號店舖、集合住宅新建工程,佳鋐建設股份有限公司,,120.166869,22.987417
6ba7b81d-9dad-11d1-80b4-00c04fd430c8,20180504,容積移轉 40%,臺南市安南區怡安段928等15筆地號店鋪及集合住宅新建工程,佳順建設股份有限公司,,120.213297,23.039062
6ba7b81e-9dad-11d1-80b4-00c04fd430c8,20180605,容積移轉 40%,台南市安南區溪東段1674地號住宅新建工程,佳晟建設股份有限公司,,120.200423,23.02586
6ba7b81f-9dad-11d1-80b4-00c04fd430c8,20180726,容積移轉 40%,台南市北區北元段612地號店鋪及集合住宅新建工程,欣巴巴事業股份有限公司,認養孝德公園,120.201863,23.015815
6ba7b820-9dad-11d1-80b4-00c04fd430c8,20180816,容積移轉 40%,安南區國安段1550-1地號店鋪、集合住宅新建工程,皇龍建設股份有限公司,,120.179079,23.024892
6ba7b821-9dad-11d1-80b4-00c04fd430c8,20180913,容積移轉 40%,台南市永康區兵北段1098等13筆地號店鋪與集合住宅新建工程,寶誠建設股份有限公司,永康區勝利國小通學步道的綠美化及人車分道、閱讀空間改善,120.178817,23.023316
6ba7b822-9dad-11d1-80b4-00c04fd430c8,20180913,容積移轉 40%,臺南市安南區國安段1569-1地號集合住宅新建工程(第1次變更設計),北基國際開發實業股份有限公司,,120.178817,23.023316
6ba7b823-9dad-11d1-80b4-00c04fd430c8,20181001,容積移轉 40%,"北區仁愛段2,2-2地號 集合住宅新建工程",連鴻建設股份有限公司,,120.227615,23.003526
6ba7b824-9dad-11d1-80b4-00c04fd430c8,20181001,容積移轉 40%,安南區安西段店鋪集合住宅新建工程,大君建設有限公司,,120.207648,23.030552
6ba7b825-9dad-11d1-80b4-00c04fd430c8,20181001,容積移轉 40%,安南區溪東段店鋪集合住宅新建工程,大騰開發股份有限公司,,120.200917,23.028179
6ba7b826-9dad-11d1-80b4-00c04fd430c8,20181001,容積移轉 40%,安南區理想段1746等1筆地號集合住宅新建工程,遠雄建設事業股份有限公司,,120.194815,23.030635
6ba7b827-9dad-11d1-80b4-00c04fd430c8,20181001,容積移轉 40%,台南市安平區漁光段891地號店舖、集合住宅新建工程,興富發建設,公有人行道舖面重新施作,120.167068,22.982669