選舉區,姓名,號次,得票,fb
基隆市,卓志鋼,1,26,https://www.facebook.com/profile.php?id=61570323897547
基隆市,吳靜怡,2,14,
基隆市,楊恕人,3,18,https://www.facebook.com/profile.php?id=100095198853073
基隆市,李文耀,4,11,
台北市,陳思妤,1,20,https://www.facebook.com/raychenchen
台北市,劉宇亮,2,2,
台北市,吳士廉,3,42,https://www.facebook.com/wucs540
台北市,李孟哲,4,12,
台北市,彭俐萍,6,4,
台北市,曾宣惠,7,30,
台北市,張峻榮,8,14,https://www.facebook.com/chunjung.chang.0923
台北市,陳志翰,9,13,
台北市,陳大業,10,19,https://www.facebook.com/chen.tayeh
台北市,林恩豪,11,28,
台北市,黃浚閣,12,21,
台北市,李家宜,13,32,https://www.facebook.com/jiayi.li.75
台北市,魏瑞妤,14,30,https://www.facebook.com/rueiyu.wei/
台北市,廖先嶸,15,14,https://www.facebook.com/profile.php?id=61566675778183
台北市,革隆文 格達德班 莊 KelunㆍKatadrepan,16,6,
台北市,郭芸芸,17,4,
台北市,余秋蓉,18,29,https://www.facebook.com/coco.fish.1/
台北市,劉奕霆,19,97,https://www.facebook.com/profile.php?id=100000322741920
台北市,蔡秉修,20,10,
台北市,簡令紘,21,2,
台北市,楊曄,22,18,https://www.facebook.com/profile.php?id=100006914682645
台北市,楊傑閔,23,11,
台北市,張智翔,24,31,https://www.facebook.com/profile.php?id=100063902992671
台北市,李嘉雯,25,27,https://www.facebook.com/profile.php?id=1833416408
台北市,陳靜琳,26,49,
台北市,卓仁凱,27,9,https://www.facebook.com/profile.php?id=1041316062
台北市,黃湘晴,28,16,
台北市,林晏良,29,6,
台北市,林元敏,30,12,
台北市,顏筱珊,31,25,
台北市,吳承杰,32,17,https://www.facebook.com/profile.php?id=100000122767045
台北市,顏志豪,33,4,
台北市,蕭賢義,34,12,
台北市,黃國豪,35,28,
新北市,韓震強,1,10,
新北市,羅怡媃,2,37,
新北市,顏靖彬,3,16,
新北市,劉素君,4,19,
新北市,廖志杰,6,38,https://www.facebook.com/profile.php?id=100009240976172
新北市,顏一帆,7,2,
新北市,黃守仕,8,43,https://www.facebook.com/profile.php?id=61565561867066
新北市,王如意,9,31,https://www.facebook.com/profile.php?id=100079167634252
新北市,林政佑,10,20,https://www.facebook.com/profile.php?id=100001315584340
新北市,陳祥麟,11,18,
新北市,劉立仁,12,9,
新北市,蔡偉強,13,19,
新北市,許安成,14,20,https://www.facebook.com/chengcheng.xu1
新北市,王炯珵,15,2,
新北市,連宗聖,16,14,
新北市,古又文,17,29,https://www.facebook.com/johankudesign
新北市,陳姿樺,18,29,
新北市,江建毅,19,25,https://www.facebook.com/jiang.jian.yi/
新北市,林雅瓔,20,7,
新北市,許恒誠,21,26,
新北市,蘇育揚,22,10,
新北市,林財祥,23,31,
新北市,侯志明,24,27,
新北市,曾鼎文,25,25,https://www.facebook.com/dean.zeng.37/
新北市,陳奕帆,26,2,
新北市,吳亞倫,27,59,https://www.facebook.com/wu.jie.jie.2024
新北市,陳和謙,28,19,
新北市,簡幸甫,29,61,https://www.facebook.com/gcf0607
新北市,林道然,30,3,
新北市,陳怡君,31,93,
新北市,蕭珉亞,32,21,
新北市,蔣海倫,33,15,
新北市,林舜治,34,7,
新北市,吳家旺,35,35,
新北市,張茵喬,36,2,
新北市,陳媛秀,37,17,
新北市,楊弘意,38,3,
桃園市,陳俊杰,1,5,
桃園市,王少芸,2,47,
桃園市,陳義佑,3,29,https://www.facebook.com/yoyokisspin
桃園市,曾姸潔,4,78,https://www.facebook.com/DrYenTseng
桃園市,彭士益,5,18,https://www.facebook.com/profile.php?id=100093749386116
桃園市,楊大緯,6,51,https://www.facebook.com/eptwy
桃園市,林昭印,7,66,https://www.facebook.com/CLARKLIN199
桃園市,林岳龍,8,10,https://www.facebook.com/yuelongl/
桃園市,李彥勲,9,7,
桃園市,高華宏,10,6,
桃園市,王鎔蓁,11,27,
桃園市,楊美惠,12,14,https://www.facebook.com/profile.php?id=100011393002530
新竹縣,鍾嘉祐,1,8,
新竹縣,游雅婷,2,20,
新竹縣,吳俊民,3,27,https://www.facebook.com/wjm20
新竹縣,林子丞,4,14,
新竹縣,柯美蘭,5,35,https://www.facebook.com/profile.php?id=61551043409062
新竹縣,徐勝凌,6,23,https://www.facebook.com/XinFengWillBeBetter
新竹市,賴俊銘,1,14,https://www.facebook.com/ferris.lai
新竹市,鍾心渝,2,41,https://www.facebook.com/tseng.james.712
新竹市,葉國文,3,23,https://www.facebook.com/POWERANDYEH
苗栗縣,吳兆耀,1,9,
苗栗縣,林志學,2,41,https://www.facebook.com/profile.php?id=100076398026826
苗栗縣,鍾昀哲,3,19,https://www.facebook.com/leojung0823
苗栗縣,繆宗翰,4,16,https://www.facebook.com/TsungHanMiaio
台中市,許瑞宏,1,56,https://www.facebook.com/C.W.AndyHsu
台中市,許書豪,2,52,https://www.facebook.com/MasayaHomeParty
台中市,丁貞文,3,68,https://www.facebook.com/jenny.ding.792
台中市,楊幸宜,4,6,
台中市,黃楓仁,5,13,
台中市,王冠忠,6,30,
台中市,林均昱,7,23,
台中市,張元䅍,8,31,https://www.facebook.com/profile.php?id=100001603907476
台中市,陳永祥,9,3,
台中市,吳尚諭,10,34,
台中市,楊瓊瑛,11,95,https://www.facebook.com/profile.php?id=100001052993595
台中市,邱于珊,12,61,https://www.facebook.com/yushancmd
台中市,王文成,13,9,
台中市,王雅惠,14,42,https://www.facebook.com/profile.php?id=61554848756713
台中市,王慧娟,15,34,https://www.facebook.com/profile.php?id=100007849833600
台中市,林坤詮,16,37,
台中市,詹隆祥,17,11,
台中市,阮俊浩,18,20,
台中市,左嘉偉,19,6,
彰化縣,呂岱融,1,78,https://www.facebook.com/profile.php?id=100064172769355
彰化縣,鄭宇華,2,5,
彰化縣,黃怡雯,3,90,https://www.facebook.com/profile.php?id=100078988090321
彰化縣,徐尚裕,4,68,https://www.facebook.com/da.she.5
彰化縣,黃志偉,5,5,
彰化縣,王博賢,6,10,
彰化縣,周健新,7,10,
彰化縣,賴秋雅,8,37,
彰化縣,張勝彬,9,61,https://www.facebook.com/gimmy.chang
彰化縣,洪輝揚,10,36,
彰化縣,張惟荏,11,41,
彰化縣,張仕穎,12,46,https://www.facebook.com/profile.php?id=100083404164700
南投縣,林麗馨,1,14,
南投縣,高浩仁,2,10,
南投縣,廖鳳翔,3,12,
雲林縣,吳宜穎,1,27,
雲林縣,張藝珊,2,96,
雲林縣,吳子呈,3,1,
雲林縣,陳瓊月,4,103,
雲林縣,陳虹君,5,3,
雲林縣,丁于淵,6,8,
雲林縣,張家閎,7,17,
雲林縣,于綵禛,8,108,
雲林縣,賴渝璇,9,101,
雲林縣,李佳琴,10,12,
雲林縣,魏怡婷,11,104,
雲林縣,蔡順鵬,12,9,
雲林縣,鄒宇傑,13,0,
雲林縣,蔡君婷,14,18,
嘉義縣,許正憲,1,50,
嘉義縣,何泰鋒,2,14,https://www.facebook.com/profile.php?id=100093631730699
嘉義縣,吳燕雪,3,9,
嘉義市,王冠鈞,1,37,
台南市,林乃立,1,48,https://www.facebook.com/profile.php?id=61556727317470
台南市,陳進男,2,15,
台南市,簡鴻祐,3,6,
台南市,吳佳橙,4,3,
台南市,朱國康,5,53,https://www.facebook.com/profile.php?id=100000788142148
台南市,洪梓傑,6,47,https://www.facebook.com/erictzuchieh
台南市,江明宗,7,44,https://www.facebook.com/k.olc.tw/
台南市,陳癸妃,8,21,
台南市,潘雪明,9,4,
台南市,郭如芳,10,6,
台南市,林慧雯,11,23,
台南市,楊家宜,12,39,https://www.facebook.com/oxoyjy1
台南市,吳光明,13,17,
高雄市,高語晞,1,10,
高雄市,莊貽量,2,36,https://www.facebook.com/e363888
高雄市,江尚玲,3,10,
高雄市,顏琮明,4,6,
高雄市,郭國順,5,4,
高雄市,倪弘澤,6,8,
高雄市,黃政賢,7,5,
高雄市,曾偉修,8,36,https://www.facebook.com/weihsiut
高雄市,宋國清,9,13,https://www.facebook.com/kaohsiungtrans
高雄市,萬家甫,10,2,
高雄市,陳欣玉,11,22,
高雄市,王宥晴,12,25,
高雄市,劉家榮,13,32,https://www.facebook.com/kikooiam
高雄市,黃宇薇,14,6,
高雄市,陳正淋,15,12,
高雄市,曾尹儷,16,72,https://www.facebook.com/ALeeKHH
屏東縣,郭泰安,1,65,https://www.facebook.com/profile.php?id=100000518047919
屏東縣,鄧喬筠,2,17,
宜蘭縣,游孟璇,1,26,
宜蘭縣,林文福,2,11,
宜蘭縣,李辰于,3,36,https://www.facebook.com/profile.php?id=100011436170823
宜蘭縣,劉宗漢,4,11,
宜蘭縣,阮椲婷,5,27,https://www.facebook.com/profile.php?id=100000460737671
宜蘭縣,陳耀丰,6,4,
宜蘭縣,李苡棋,7,17,https://www.facebook.com/ruan.nina
花蓮縣,楊善媛,1,24,
花蓮縣,蔡翼陽,2,86,
花蓮縣,沈偉平,3,27,
台東縣,莊伯昭,1,14,
台東縣,翁瑾諺,2,23,
澎湖縣,謝穎諄,1,17,
金門縣,周曉芸,1,22,
連江縣,簡俊德,1,3,
